,,GROSS EXTENT SOWN(Hectares),,,,GROSS EXTENT HARVESTED(Hectares),,,,AVERAGE YIELD PER NETT HECTARE(kg),,,,
KILLINOCHCHI,"9,961",110,-,"10,071","9,961",110,-,"10,071",4634,3308,-,4620,"8,937","41,288"
BATTICALOA,"22,103","4,401","1,998","28,502","22,103","4,401","1,998","28,502",4591,4709,5388,4665,"25,156","117,353"
AMPARA,"59,755","2,468",637,"62,860","59,682","2,468",626,"62,776",5247,4785,5277,5229,"59,995","313,708"
TRINCOMALEE,"20,223","4,501",515,"25,239","20,223","4,501",515,"25,239",5257,5306,5311,5267,"23,447","123,491"
KURUNEGALA,"15,650","31,749","21,174","68,573","15,601","31,442","20,945","67,988",4667,3897,3736,4024,"67,988","273,572"
PUTTALAM,"8,194","9,200","1,208","18,602","7,808","8,568","1,115","17,491",4474,3554,3326,3950,"14,868","58,728"
ANURADHAPURA,"40,880","20,703",521,"62,104","40,870","20,626",521,"62,017",4789,4546,2765,4691,"49,868","233,948"
POLONNARUWA,"56,994","5,632",-,"62,626","56,994","5,405",-,"62,399",5483,4995,-,5441,"55,199","300,317"
BADULLA,"7,855","4,186",57,"12,098","7,855","4,186",57,"12,098",4996,5260,5135,5088,"10,284","52,327"
MONARAGALA,"7,972","7,090",790,"15,852","7,959","7,018",782,"15,759",6096,4060,2965,5034,"15,444","77,752"
RATNAPURA,"4,023","4,916","1,834","10,773","4,017","4,907","1,819","10,743",4873,3808,3296,4119,"9,131","37,617"
KEGALLE,-,"1,466","4,011","5,477",-,"1,463","3,997","5,460",-,3197,2915,2991,"5,115","15,297"
SRI LANKA,"310,669","124,507","66,291","501,467","309,294","122,641","64,826","496,761",4526,4018,3650,4309,"445,084","2,088,202"
COLOMBO,388,638,"3,189","4,215",388,637,"3,186","4,211",2947,2699,2875,2855,"3,580","10,222"
GAMPAHA,"1,859","2,144","8,345","12,348","1,847","2,127","8,275","12,249",3705,3516,3380,3453,"10,411","35,911"
KALUTARA,140,"1,428","11,580","13,148",139,"1,417","11,515","13,071",2554,2600,2753,2735,"12,058","32,973"
KANDY,"4,360","5,673","3,145","13,178","4,360","5,669","3,143","13,172",3987,3629,3052,3610,"10,417","37,603"
MATALE,"7,657","8,197","4,420","20,274","7,657","8,190","4,416","20,263",4134,4391,4042,4218,"18,223","76,864"
NUWARAELIYA,877,"4,066",17,"4,960",877,"4,059",17,"4,953",3767,3935,3858,3905,"2,791","10,898"
GALLE,-,223,"12,096","12,319",-,215,"11,795","12,010",-,2547,2532,2532,"9,400","23,803"
MATARA,"3,825","4,239","6,503","14,567","3,779","4,199","6,485","14,463",3765,3688,3014,3406,"11,418","38,884"
HAMBANTOTA,"30,406","5,649","1,292","37,347","30,390","5,607","1,292","37,289",5754,4364,3524,5468,"32,579","178,137"
JAFFNA,-,-,"11,408","11,408",-,-,"11,261","11,261",-,-,2889,2889,"9,993","28,869"
MANNAR,"15,196","6,477",444,"22,117","15,193","6,476",444,"22,113",3802,2972,746,3497,"21,113","73,839"
VAVUNIYA,"4,792","14,342","4,369","23,503","4,779","14,059","4,171","23,009",3405,2745,2626,2861,"21,710","62,101"
MULATIVU,"8,772","5,335","11,545","25,652","8,772","5,335","11,545","25,652",3537,3226,2824,3152,"24,203","76,274"
KILLINOCHCHI,"11,880",425,"15,578","27,883","11,880",425,"15,207","27,512",3387,3261,3157,3258,"24,414","79,545"
BATTICALOA,"30,212","4,014","37,207","71,433","30,212","4,014","37,207","71,433",3800,3220,2494,3088,"63,047","194,671"
AMPARA,"60,740","3,796","16,017","80,553","60,720","3,457","15,709","79,886",4487,3878,3018,4172,"76,347","318,517"
TRINCOMALEE,"24,819","10,084","13,700","48,603","24,809","10,065","13,700","48,574",3684,2686,2483,3138,"45,126","141,623"
KURUNEGALA,"17,552","34,443","26,258","78,253","17,523","34,276","26,058","77,857",4391,3568,3588,3760,"77,857","292,723"
PUTTALAM,"6,683","10,406","2,280","19,369","6,595","10,245","2,193","19,033",4145,3305,3077,3570,"16,178","57,756"
ANURADHAPURA,"55,236","47,959","15,623","118,818","55,089","47,181","15,087","117,357",4730,3240,2539,3849,"94,367","363,239"
POLONNARUWA,"58,842","7,768","2,877","69,487","58,842","7,737","2,870","69,449",4383,4935,3696,4416,"61,434","271,313"
BADULLA,"10,718","10,022","5,026","25,766","10,718","10,007","5,026","25,751",3677,4051,2855,3662,"21,889","80,152"
MONARAGALA,"9,454","11,767","14,407","35,628","9,446","11,741","14,386","35,573",4913,4429,3058,4003,"34,861","139,548"
RATNAPURA,"4,683","6,687","3,271","14,641","4,683","6,662","3,253","14,598",5292,3262,2578,3761,"12,409","46,666"
KEGALLE,-,742,"6,389","7,131",-,741,"6,386","7,127",-,3674,3571,3581,"6,676","23,909"
SRI LANKA,"369,091","206,524","236,986","812,601","368,698","204,541","234,627","807,866",4011,3493,2969,3554,"722,501","2,696,040"
COLOMBO,287,382,"2,211","2,880",287,382,"2,211","2,880",3114,2187,2093,2207,"2,448","5,412"
GAMPAHA,"1,744","2,891","5,215","9,850","1,744","2,887","5,205","9,836",2604,2681,2352,2493,"8,360","20,844"
KALUTARA,136,"1,505","9,124","10,765",136,"1,502","9,023","10,661",3618,2593,2267,2330,"9,834","22,915"
KANDY,"4,135","3,437","2,518","10,090","4,135","3,437","2,517","10,089",3469,3188,2881,3227,"7,978","25,743"
MATALE,"6,525","5,064","1,127","12,716","6,520","5,045","1,118","12,683",2723,2904,2419,2768,"11,406","31,577"
NUWARAELIYA,638,"2,233",2,"2,873",638,"2,231",2,"2,871",4310,3530,4022,3704,"1,618","5,993"
GALLE,203,"1,685","8,727","10,615",202,"1,654","8,566","10,422",2077,2039,2227,2194,"8,155","17,896"
MATARA,"4,021","3,165","6,135","13,321","3,811","3,143","6,118","13,072",2984,2502,2690,2730,"10,320","28,178"
HAMBANTOTA,"28,270","3,927",834,"33,031","28,250","3,920",833,"33,003",4833,3523,2252,4612,"28,834","132,995"
JAFFNA,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MANNAR,"1,845",430,-,"2,275","1,844",430,-,"2,274",3575,2781,-,3425,"2,171","7,435"
VAVUNIYA,"2,416","3,069",-,"5,485","2,409","3,047",-,"5,456",4563,4215,-,4368,"5,147","22,485"
MULATIVU,"5,008","1,883",-,"6,891","5,008","1,883",-,"6,891",3358,4092,-,3558,"6,501","23,132"
KILLINOCHCHI,"10,258",75,-,"10,333","10,258",70,-,"10,328",2951,2038,-,2945,"9,164","26,985"
BATTICALOA,"22,260","4,438","1,998","28,696","22,260","4,438","1,998","28,696",2970,2974,2672,2950,"25,327","74,720"
AMPARA,"60,016","2,299",371,"62,686","60,002","2,273",369,"62,644",3746,2887,2602,3708,"59,869","221,999"
TRINCOMALEE,"19,599","4,443",449,"24,491","19,599","4,443",449,"24,491",4143,3441,4723,4026,"22,752","91,605"
KURUNEGALA,"14,206","22,765","19,859","56,830","14,193","22,660","19,728","56,581",2827,2835,2669,2775,"56,580","157,003"
PUTTALAM,"5,939","6,543",926,"13,408","5,930","6,462",916,"13,308",3232,2351,2515,2755,"11,312","31,158"
ANURADHAPURA,"37,267","22,127",524,"59,918","37,249","22,071",512,"59,832",3375,3073,1628,3248,"48,111","156,283"
POLONNARUWA,"53,098","5,538",-,"58,636","53,095","5,536",-,"58,631",4306,4123,-,4288,"51,865","222,414"
BADULLA,"7,676","4,888",30,"12,594","7,676","4,887",30,"12,593",3190,3598,3661,3349,"10,704","35,851"
MONARAGALA,"7,809","6,775",987,"15,571","7,797","6,691",949,"15,437",4060,3022,868,3414,"15,129","51,654"
RATNAPURA,"4,163","5,307","2,140","11,610","4,142","5,270","2,110","11,522",4341,2960,2411,3356,"9,793","32,865"
KEGALLE,-,"1,719","4,385","6,104",-,"1,713","4,375","6,088",-,2562,2542,2548,"5,704","14,533"
SRI LANKA,"297,519","116,588","67,562","481,669","297,185","116,075","67,029","480,289",3494,3004,2605,3207,"429,082","1,461,675"
COLOMBO,321,646,"2,690","3,657",321,638,"2,689","3,648",3517,3318,3408,3402,"3,100","10,547"
GAMPAHA,"1,557","1,673","7,404","10,634","1,517","1,614","7,275","10,406",2896,2839,3285,3159,"8,845","27,942"
KALUTARA,78,"1,462","10,007","11,547",75,"1,461","9,957","11,493",2507,2790,3071,3032,"10,603","32,142"
KANDY,"4,365","5,472","2,984","12,821","4,365","5,470","2,983","12,818",4745,3513,3098,3836,"10,137","38,881"
MATALE,"7,365","7,113","4,398","18,876","7,332","7,106","4,358","18,796",4713,4160,3975,4333,"16,903","73,239"
NUWARAELIYA,709,"3,805",13,"4,527",709,"3,802",13,"4,524",4388,4212,3785,4238,"2,549","10,804"
GALLE,_,122,"6,892","7,014",_,122,"6,701","6,823",_,2341,3004,2993,"5,340","15,980"
MATARA,"2,537","2,731","5,108","10,376","2,448","2,691","5,062","10,201",3395,3014,3119,3158,"8,054","25,432"
HAMBANTOTA,"29,547","5,764","1,216","36,527","29,174","5,593","1,191","35,958",6005,4464,3052,5668,"31,417","178,053"
JAFFNA,_,_,"11,362","11,362",_,_,"11,340","11,340",_,_,2691,2691,"10,063","27,081"
MANNAR,"19,739","7,763",480,"27,982","19,739","7,763",480,"27,982",4580,3847,1708,4327,"26,717","115,602"
VAVUNIYA,"4,736","14,332","4,344","23,412","4,655","13,956","4,175","22,786",4242,3866,3510,3878,"21,498","83,359"
MULATIVU,"8,952","5,460","11,230","25,642","8,450","5,188","9,436","23,074",3387,3393,2458,3009,"21,771","65,506"
KILLINOCHCHI,"11,880",425,"15,556","27,861","11,839",425,"15,553","27,817",2035,2203,1977,2005,"24,684","49,494"
BATTICALOA,"30,219","4,142","37,178","71,539","26,347","3,806","36,838","66,991",2434,2491,2385,2410,"59,127","142,522"
AMPARA,"61,229","4,118","16,026","81,373","53,088","3,352","14,605","71,045",4327,2573,2811,3933,"67,898","267,017"
TRINCOMALEE,"24,685","9,982","13,816","48,483","24,685","9,982","13,816","48,483",4152,2765,2548,3409,"45,040","153,558"
KURUNEGALA,"16,000","34,066","25,241","75,307","15,950","33,754","24,978","74,682",4141,3429,3461,3592,"74,682","268,234"
PUTTALAM,"8,065","10,515","2,072","20,652","7,482","10,031","1,987","19,500",4240,3575,3700,3843,"16,576","63,699"
ANURADHAPURA,"55,880","52,816","16,805","125,501","55,807","52,690","16,774","125,271",5388,4151,3666,4637,"100,730","467,075"
POLONNARUWA,"59,222","7,816","2,945","69,983","59,196","7,702","2,945","69,843",4822,4023,3937,4697,"61,783","290,191"
BADULLA,"10,914","9,936","5,206","26,056","10,914","9,935","5,204","26,053",4486,4820,3891,4494,"22,145","99,528"
MONARAGALA,"9,375","11,689","15,421","36,485","9,370","11,686","15,419","36,475",4871,4385,3515,4142,"35,745","148,069"
RATNAPURA,"4,486","5,799","2,645","12,930","4,485","5,787","2,636","12,908",6144,3416,3109,4301,"10,971","47,224"
KEGALLE,_,679,"5,447","6,126",_,679,"5,446","6,125",_,3808,3598,3622,"5,737","20,779"
SRI LANKA,"371,861","208,326","226,486","806,673","357,948","205,233","221,861","785,042",4155,3475,3150,3712,"702,115","2,721,958"
COLOMBO,210,278,1730,2218,208,278,1729,2215,2133,2542,2372,2371,1883,4464
GAMPAHA,1570,1481,5609,8660,1454,1474,5539,8467,2370,3242,2424,2557,7197,18401
KALUTARA,112,1090,7930,9132,112,1090,7913,9115,3122,2946,2415,2487,8408,20913
KANDY,4196,3296,2408,9900,4196,3266,2399,9861,4811,2846,3172,3762,7798,29335
MATALE,6820,4124,813,11757,6771,4039,756,11566,4293,3716,2527,3976,10402,41359
NUWARAELIYA,520,1916,3,2439,520,1913,3,2436,4177,4104,3694,4119,1372,5653
GALLE,-,127,5556,5683,-,80,4944,5024,-,2328,2167,2169,3931,8527
MATARA,3469,3941,5562,12972,2201,2697,4811,9709,3573,2930,2775,2999,7666,22989
HAMBANTOTA,29254,4558,1135,34947,27781,4128,1011,32920,5289,4253,2938,5087,28762,146310
JAFFNA,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MANNAR,1983,391,-,2374,1982,387,-,2369,5045,3704,-,4826,2262,10918
VAVUNIYA,2063,3640,-,5703,2036,3494,-,5530,4068,4074,-,4071,5218,21243
MULATIVU,4203,1549,-,5752,4203,1549,-,5752,4428,4389,-,4418,5427,23973
KILLINOCHCHI,6807,75,-,6882,6807,75,-,6882,3999,3010,-,3988,6107,24355
BATTICALOA,29078,4418,70,33566,29078,4418,70,33566,3580,3401,3549,3557,29625,105366
AMPARA,60510,2308,366,63184,60506,2304,366,63176,4358,3986,3251,4338,60377,261938
TRINCOMALEE,23787,4726,136,28649,23787,4726,136,28649,4979,3757,3577,4771,26615,126977
KURUNEGALA,15199,28892,21197,65288,14993,26925,17933,59851,4237,3301,3004,3447,59851,206292
PUTTALAM,8189,8341,1142,17672,8180,8049,1041,17270,4180,3443,3730,3810,14680,55932
ANURADHAPURA,43099,22007,418,65524,42888,21549,415,64852,4563,3790,3969,4302,52148,224321
POLONNARUWA,58149,7852,32,66033,58147,7811,32,65990,4986,4421,3686,4918,58375,287105
BADULLA,8251,4785,163,13199,8251,4762,163,13176,4592,4491,4451,4554,11200,51003
MONARAGALA,8277,6787,1497,16561,8274,6737,1479,16490,4455,3823,2555,4026,16160,65066
RATNAPURA,4430,4584,1473,10487,4397,4564,1463,10424,5661,3164,3002,4195,8861,37169
KEGALLE,-,690,5804,6494,-,690,5692,6382,-,3142,2954,2974,5979,17782
SRI LANKA,320176,121856,63044,505076,316772,117005,57895,491672,4223,3533,3111,3822,440304,1817391
